,Job Title,Company Name,Location
0,Data Scientist,Bottomline Technologies,"Bengaluru, Karnataka, India"
1,Data Scientist,"XPO Logistics, Inc.","Mumbai, IN"
2,Data Scientist - QuantumBlack,QuantumBlack,"Gurgaon, IN"
3,Data Scientist,Inference Labs,"Number of views
77 views"
4,Data Scientist,KONE,"Pune, IN"
5,Data Scientist,Mindcurv,"Cochin, IN"
6,Data Scientist,Infosys,"Bengaluru, Karnataka, India"
7,Data Scientist,Doctus Tech,"Phase VI Sas Nagar Mohali, Chandigarh, Chandigarh, India"
8,Data Scientist,Sentieo,"Delhi, IN"
9,Data Scientist,IBM,"Kolkata, IN"
10,Data Scientist,Hitachi Vantara,"Bengaluru Area, India"
11,Data Scientist (Technical Architect/ Team Lead),ArisGlobal,"Number of views
1,982 views"
12,Data Scientist,[24]7.ai,"Bengaluru Area, India"
13,Data Scientist,LafargeHolcim Global Digital Hub,"Mumbai Area, India"
14,Data Scientist,GSK,"Bangalore, IN"
15,Data Scientist,PayU,"Bangalore, IN"
16,Data Scientist,Analytics Vidhya,"Gurgaon, IN"
17,Data Scientist,Sony Research India,"Mumbai, Maharashtra, India"
18,Data Scientist -1,Acko,"Bangalore, IN"
19,Data Scientist,Quark Software Inc.,"Chandigarh, India"
20,Data Scientist,Airtel Payments Bank,"Gurgaon, Haryana, India"
21,Data Scientist,Jio,"Hyderabad, Telangana"
22,Data Scientist,Shell,"Chennai, IN"
23,Data Scientist,Delhivery,"Gurgaon, Haryana"
24,Data Analyst,PubMatic,"Baner, IN"
25,Data Scientist,ABB,"Bangalore, IN"
26,Sr Data Scientist,Walmart Labs India,"Number of views
1,219 views"
27,Data Scientist,India_India,"Ahmedabad, IN"
28,Data Scientist - Bangalore,WABCO,"Bangalore, IN"
29,Data Scientist,GD Research Center Pvt. Ltd.,"Hyderabad, IN"
30,Data Scientist,Intellectyx,"Number of views
1,020 views"
31,Data Scientist,AIRA MATRIX,"Thane, Maharashtra, India"
32,Data Scientist,Econolytics,"Delhi, IN"
33,Data Scientist,NA,"Bangalore, IN"
34,Data Scientist,NA,"Bangalore, IN"
35,Data Scientist III,General Mills,"Mumbai, IN"
36,Data Scientist,Xome,"Chennai, Tamil Nadu, India"
37,Data Scientist,Faurecia,"Pune, Maharashtra, India"
38,Data Scientist,BookMyShow,"Mumbai, IN"
39,Data Scientist,Mercedes-Benz AG,"Bangalore, IN"
40,Data Scientist,Weatherford,"Mumbai, Maharashtra, India"
41,Data Scientist,Curl,"Bangalore, IN"
42,Data Scientist,Endless Gain,"Bangalore, IN"
43,Data Scientist,Aditi Consulting,"Bengaluru, Karnataka, India"
44,Data Scientist,Ericsson,"Noida, IN"
45,Data Scientist,Demoport.in,"Chennai, IN"
46,DATA SCIENTIST,Fiddich Consulting,"Bangalore, IN"
47,DATA SCIENTIST,NA,"Bangalore, IN"
48,Sr. Analyst- Data Science,Merkle Sokrati,"Pune, IN"
49,Data Scientist III,Caterpillar Inc.,"Bangalore, IN"
50,Data Scientist,Innominds,"Hyderabad, IN"
51,Data Scientist _Bangalore,Thoucentric,"Bangalore, IN"
52,Data Scientist( Bigdata/ML),DISH Network,"Bengaluru, Karnataka"
53,Data Scientist,Live Connections,"Number of views
1,406 views"
54,Data Scientist,Credit Saison India,"Number of views
1,540 views"
55,Data Scientist,Quincus,"Delhi, IN"
56,Principal  Data Scientist,Talentica Software,"Number of views
2,414 views"
57,Data Scientist,Cynepia Technologies,"Bangalore, IN"
58,Data Scientist,RAJESH & COMPANY,"Gurgaon, IN"
59,Data Scientist,PipeCandy,"Chennai, IN"
60,Data Scientist,NA,"Chennai, IN"
61,Data Scientist,PipeCandy,"Chennai, IN"
62,Data Scientist,PipeCandy,"Chennai, IN"
63,Data Scientist,PipeCandy,"Chennai, IN"
64,Data Scientist,PipeCandy,"Chennai, IN"
65,Data Scientist,PipeCandy,"Chennai, IN"
66,Senior Data Scientist,Myntra,"Bangalore, IN"
67,Data Analyst,CEREBULB,"Gandhi Nagar Sub-District, Gujarat, India"
68,Data Scientist / Analyst,Mate Labs,"Bangalore, IN"
69,"Data Scientist, NLP",Fractal,"Bangalore, IN"
70,Data Scientist,Octro Inc.,"Noida, IN"
71,Data Scientist,Lincode,"Bangalore, IN"
